Unnamed: 0,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
0,1,41040,10,80,0,4,3.139211,0,0,2,0,6,3,180,0,0,0
1,1,41040,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
2,1,41040,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
3,1,41040,10,80,0,2,1.477656,149,128252,5,2896,14,94,5525,96,139044,0
4,1,41042,10,80,0,4,3.147116,0,0,2,0,6,3,180,0,0,0
5,1,41042,10,80,0,2,1.305004,151,128348,5,5792,14,96,5699,92,133140,0
6,1,41044,10,80,0,2,1.004605,148,91961,5,2896,11,67,4148,65,92453,0
7,1,41046,10,80,0,2,4.129647,148,99303,5,5792,11,75,4412,69,97107,0
8,1,41048,10,80,0,4,3.114215,0,0,2,0,6,3,180,0,0,0
9,1,41048,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
10,1,41048,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
11,1,123,6,123,1,4,0.001496,48,48,5,0,4,1,76,1,76,0
12,1,41048,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
13,1,41048,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
14,1,123,6,123,1,4,0.001495,48,48,5,0,4,1,76,1,76,0
15,1,41050,10,80,0,4,3.158705,0,0,2,0,6,3,180,0,0,0
16,1,41050,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
17,1,41050,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
18,1,123,15,123,1,4,22.80650261,14788.68465,350.4294306,2,0,3,1,76,0,0,0
19,1,41050,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
20,1,123,6,123,1,4,0.001495,48,48,5,0,4,1,76,1,76,0
21,1,123,42,123,1,4,22.80650261,14788.68465,350.4294306,2,0,3,1,76,0,0,0
22,1,41050,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
23,1,123,6,123,1,4,0.014232,48,48,5,0,4,1,76,1,76,0
24,1,41052,10,80,0,2,2.299441,151,164266,5,5792,12,114,6607,117,168910,0
25,1,48986,10,6667,0,4,3.107733,0,0,2,0,6,3,180,0,0,1
26,1,41056,10,80,0,4,3.136227,0,0,2,0,6,3,180,0,0,0
27,1,41056,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
28,1,41056,10,80,0,4,22.80650261,14788.68465,350.4294306,2,0,6,1,60,0,0,0
